year,race_name,team,driver,dnf,dnf_reason
2024,Bahrain Grand Prix,rb,TSU,True,Lapped
2024,Bahrain Grand Prix,red_bull,PER,False,Finished
2024,Bahrain Grand Prix,red_bull,VER,False,Finished
2024,Bahrain Grand Prix,sauber,BOT,True,Lapped
2024,Bahrain Grand Prix,sauber,ZHO,True,Lapped
2024,Bahrain Grand Prix,williams,ALB,True,Lapped
2024,Bahrain Grand Prix,williams,SAR,True,Lapped
2024,Belgian Grand Prix,alpine,GAS,False,Finished
2024,Belgian Grand Prix,alpine,OCO,False,Finished
2024,Belgian Grand Prix,aston_martin,ALO,False,Finished
2024,Belgian Grand Prix,aston_martin,STR,False,Finished
2024,Belgian Grand Prix,ferrari,LEC,False,Finished
2024,Belgian Grand Prix,ferrari,SAI,False,Finished
2024,Belgian Grand Prix,haas,HUL,False,Finished
2024,Belgian Grand Prix,haas,MAG,False,Finished
2024,Belgian Grand Prix,mclaren,NOR,False,Finished
2024,Belgian Grand Prix,mclaren,PIA,False,Finished
2024,Belgian Grand Prix,mercedes,HAM,False,Finished
2024,Belgian Grand Prix,mercedes,RUS,True,Disqualified
2024,Belgian Grand Prix,rb,RIC,False,Finished
2024,Belgian Grand Prix,rb,TSU,False,Finished
2024,Belgian Grand Prix,red_bull,PER,False,Finished
2024,Belgian Grand Prix,red_bull,VER,False,Finished
2024,Belgian Grand Prix,sauber,BOT,False,Finished
2024,Belgian Grand Prix,sauber,ZHO,True,Retired
2024,Belgian Grand Prix,williams,ALB,False,Finished
2024,Belgian Grand Prix,williams,SAR,False,Finished
2024,British Grand Prix,alpine,GAS,True,Did not start
2024,British Grand Prix,alpine,OCO,True,Lapped
2024,British Grand Prix,aston_martin,ALO,False,Finished
2024,British Grand Prix,aston_martin,STR,False,Finished
2024,British Grand Prix,ferrari,LEC,True,Lapped
2024,British Grand Prix,ferrari,SAI,False,Finished
2024,British Grand Prix,haas,HUL,False,Finished
2024,British Grand Prix,haas,MAG,False,Finished
2024,British Grand Prix,mclaren,NOR,False,Finished
2024,British Grand Prix,mclaren,PIA,False,Finished
2024,British Grand Prix,mercedes,HAM,False,Finished
2024,British Grand Prix,mercedes,RUS,True,Retired
2024,British Grand Prix,rb,RIC,True,Lapped
2024,British Grand Prix,rb,TSU,False,Finished
2024,British Grand Prix,red_bull,PER,True,Lapped
2024,British Grand Prix,red_bull,VER,False,Finished
2024,British Grand Prix,sauber,BOT,True,Lapped
2024,British Grand Prix,sauber,ZHO,True,Lapped
2024,British Grand Prix,williams,ALB,False,Finished
2024,British Grand Prix,williams,SAR,False,Finished
2024,Canadian Grand Prix,alpine,GAS,False,Finished
2024,Canadian Grand Prix,alpine,OCO,False,Finished
2024,Canadian Grand Prix,aston_martin,ALO,False,Finished
2024,Canadian Grand Prix,aston_martin,STR,False,Finished
2024,Canadian Grand Prix,ferrari,LEC,True,Retired
2024,Canadian Grand Prix,ferrari,SAI,True,Retired
2024,Canadian Grand Prix,haas,HUL,False,Finished
2024,Canadian Grand Prix,haas,MAG,False,Finished
2024,Canadian Grand Prix,mclaren,NOR,False,Finished
2024,Canadian Grand Prix,mclaren,PIA,False,Finished
2024,Canadian Grand Prix,mercedes,HAM,False,Finished
2024,Canadian Grand Prix,mercedes,RUS,False,Finished
2024,Canadian Grand Prix,rb,RIC,False,Finished
2024,Canadian Grand Prix,rb,TSU,False,Finished
2024,Canadian Grand Prix,red_bull,PER,True,Retired
2024,Canadian Grand Prix,red_bull,VER,False,Finished
2024,Canadian Grand Prix,sauber,BOT,False,Finished
2024,Canadian Grand Prix,sauber,ZHO,True,Lapped
2024,Canadian Grand Prix,williams,ALB,True,Retired
2024,Canadian Grand Prix,williams,SAR,True,Retired
2024,Chinese Grand Prix,alpine,GAS,False,Finished
2024,Chinese Grand Prix,alpine,OCO,False,Finished
2024,Chinese Grand Prix,aston_martin,ALO,False,Finished
2024,Chinese Grand Prix,aston_martin,STR,False,Finished
2024,Chinese Grand Prix,ferrari,LEC,False,Finished
2024,Chinese Grand Prix,ferrari,SAI,False,Finished
2024,Chinese Grand Prix,haas,HUL,False,Finished
2024,Chinese Grand Prix,haas,MAG,False,Finished
2024,Chinese Grand Prix,mclaren,NOR,False,Finished
2024,Chinese Grand Prix,mclaren,PIA,False,Finished
2024,Chinese Grand Prix,mercedes,HAM,False,Finished
2024,Chinese Grand Prix,mercedes,RUS,False,Finished
2024,Chinese Grand Prix,rb,RIC,True,Retired
2024,Chinese Grand Prix,rb,TSU,True,Retired
2024,Chinese Grand Prix,red_bull,PER,False,Finished
2024,Chinese Grand Prix,red_bull,VER,False,Finished
2024,Chinese Grand Prix,sauber,BOT,True,Retired
2024,Chinese Grand Prix,sauber,ZHO,False,Finished
2024,Chinese Grand Prix,williams,ALB,False,Finished
2024,Chinese Grand Prix,williams,SAR,False,Finished
2024,Dutch Grand Prix,alpine,GAS,True,Lapped
2024,Dutch Grand Prix,alpine,OCO,True,Lapped
2024,Dutch Grand Prix,aston_martin,ALO,True,Lapped
2024,Dutch Grand Prix,aston_martin,STR,True,Lapped
2024,Dutch Grand Prix,ferrari,LEC,False,Finished
2024,Dutch Grand Prix,ferrari,SAI,False,Finished
2024,Dutch Grand Prix,haas,HUL,True,Lapped
2024,Dutch Grand Prix,haas,MAG,True,Lapped
2024,Dutch Grand Prix,mclaren,NOR,False,Finished
2024,Dutch Grand Prix,mclaren,PIA,False,Finished
2024,Dutch Grand Prix,mercedes,HAM,False,Finished
2024,Dutch Grand Prix,mercedes,RUS,False,Finished
2024,Dutch Grand Prix,rb,RIC,True,Lapped
2024,Dutch Grand Prix,rb,TSU,True,Lapped
2024,Dutch Grand Prix,red_bull,PER,False,Finished
2024,Dutch Grand Prix,red_bull,VER,False,Finished
2024,Dutch Grand Prix,sauber,BOT,True,Lapped
2024,Dutch Grand Prix,sauber,ZHO,True,Lapped
2024,Dutch Grand Prix,williams,ALB,True,Lapped
2024,Dutch Grand Prix,williams,SAR,True,Lapped
2024,Emilia Romagna Grand Prix,alpine,GAS,True,Lapped
2024,Emilia Romagna Grand Prix,alpine,OCO,True,Lapped
2024,Emilia Romagna Grand Prix,aston_martin,ALO,True,Lapped
2024,Emilia Romagna Grand Prix,aston_martin,STR,False,Finished
2024,Emilia Romagna Grand Prix,ferrari,LEC,False,Finished
2024,Emilia Romagna Grand Prix,ferrari,SAI,False,Finished
2024,Emilia Romagna Grand Prix,haas,HUL,True,Lapped
2024,Emilia Romagna Grand Prix,haas,MAG,True,Lapped
2024,Emilia Romagna Grand Prix,mclaren,NOR,False,Finished
2024,Emilia Romagna Grand Prix,mclaren,PIA,False,Finished
2024,Emilia Romagna Grand Prix,mercedes,HAM,False,Finished
2024,Emilia Romagna Grand Prix,mercedes,RUS,False,Finished
2024,Emilia Romagna Grand Prix,rb,RIC,True,Lapped
2024,Emilia Romagna Grand Prix,rb,TSU,True,Lapped
2024,Emilia Romagna Grand Prix,red_bull,PER,False,Finished
2024,Emilia Romagna Grand Prix,red_bull,VER,False,Finished
2024,Emilia Romagna Grand Prix,sauber,BOT,True,Lapped
2024,Emilia Romagna Grand Prix,sauber,ZHO,True,Lapped
2024,Emilia Romagna Grand Prix,williams,ALB,True,Retired
2024,Emilia Romagna Grand Prix,williams,SAR,True,Lapped
2024,Hungarian Grand Prix,alpine,GAS,True,Retired
2024,Hungarian Grand Prix,alpine,OCO,True,Lapped
2024,Hungarian Grand Prix,aston_martin,ALO,False,Finished
2024,Hungarian Grand Prix,aston_martin,STR,False,Finished
2024,Hungarian Grand Prix,ferrari,LEC,False,Finished
2024,Hungarian Grand Prix,ferrari,SAI,False,Finished
2024,Hungarian Grand Prix,haas,HUL,True,Lapped
2024,Hungarian Grand Prix,haas,MAG,True,Lapped
2024,Hungarian Grand Prix,mclaren,NOR,False,Finished
2024,Hungarian Grand Prix,mclaren,PIA,False,Finished
2024,Hungarian Grand Prix,mercedes,HAM,False,Finished
2024,Hungarian Grand Prix,mercedes,RUS,False,Finished
2024,Hungarian Grand Prix,rb,RIC,True,Lapped
2024,Hungarian Grand Prix,rb,TSU,False,Finished
2024,Hungarian Grand Prix,red_bull,PER,False,Finished
2024,Hungarian Grand Prix,red_bull,VER,False,Finished
