season,driver,race_name,round,circuit_type,team,finishing_position,race_status,avg_race_pace,clean_air_avg_race_pace,grid_avg_race_pace,pace_delta_to_grid,pace_zscore_vs_grid,pace_score_vs_grid,pace_score_0_100,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2024,ALO,Jeddah,2,Street,Aston Martin,5.0,Finished,97.56173469387754,93.2681875,98.0130720998926,-0.4513374060150568,-0.4827964143593648,0.4827964143593648,68.42105263157895,327.0,37.5,17.0,6.0,11.0,24.5,0,1,1,,4.448114285714282,-0.543354122621566,,31.158999999999992,-92.513,71.1257926744096,224.59496431967912,0.3469387755102041,2.1462261904761903,-4.293547193877544
2024,BEA,Jeddah,2,Street,Ferrari,7.0,Finished,97.619,93.17763333333332,98.0130720998926,-0.39407209989259684,-0.42153961602035744,0.42153961602035744,57.89473684210527,339.0,38.5,7.0,4.0,3.0,24.5,1,0,1,4.872399999999992,,-0.5165931742675931,33.753,,-87.40199999999999,73.79571062364508,225.63939678242008,0.3877551020408163,2.467158914728682,-4.441366666666681
2024,BOT,Jeddah,2,Street,Sauber,17.0,Lapped,99.1985625,95.68680952380953,98.0130720998926,1.1854904001073976,1.2681211590297625,-1.2681211590297625,5.263157894736848,342.0,23.0,2.0,18.0,-16.0,16.0,2,0,1,2.167821978021975,,-0.9524857690202476,6.781500000000008,,-79.46799999999999,71.45734147613699,221.73151934233695,0.625,6.59829365079365,-3.511752976190465
2024,HAM,Jeddah,2,Street,Mercedes,9.0,Finished,97.75028571428572,99.75327731092437,98.0130720998926,-0.26278638560687284,-0.28110305731943497,0.28110305731943497,47.36842105263158,334.0,24.0,11.0,17.0,-6.0,24.5,1,1,0,-0.4347340659340717,-0.5852235294117648,,-16.171000000000006,0.4260000000000019,,69.77961400135432,224.5735678084982,0.6326530612244898,2.392207142857143,2.002991596638651
2024,HUL,Jeddah,2,Street,Haas,10.0,Finished,98.2963469387755,94.52222721088437,98.0130720998926,0.28327483888290317,0.30301959170282006,-0.30301959170282006,42.10526315789473,330.0,26.5,16.0,15.0,1.0,24.5,0,1,1,,-0.6354186217008808,-0.4117132352941174,,-1.2349999999999994,-18.781999999999996,71.15414675418268,224.20607312277235,0.3469387755102041,11.278018026565462,-3.774119727891133
2024,LEC,Jeddah,2,Street,Ferrari,3.0,Finished,97.24961224489793,92.89294217687075,98.0130720998926,-0.7634598549946645,-0.8166743451493319,0.8166743451493319,78.94736842105263,334.0,35.5,11.0,11.0,0.0,24.5,0,1,1,,4.328971428571422,-0.547718212020538,,30.652,-94.774,74.88506125825684,225.9313394216695,0.4897959183673469,3.8663116279069762,-4.356670068027185
2024,MAG,Jeddah,2,Street,Haas,12.0,Finished,98.48675510204083,94.51666448979593,98.0130720998926,0.4736830021482348,0.5066995377124088,-0.5066995377124088,36.8421052631579,336.0,36.5,10.0,7.0,3.0,24.5,0,1,1,,4.887371428571425,-0.511767743884024,,34.04199999999999,-85.42399999999999,70.81175956284656,223.39524909320951,0.46938775510204084,2.4618999999999995,-3.9700906122449027
2024,NOR,Jeddah,2,Street,McLaren,8.0,Finished,97.7358163265306,95.5715331632653,98.0130720998926,-0.27725577336200047,-0.2965809867643476,0.2965809867643476,52.63157894736843,314.0,19.5,18.0,19.0,-1.0,24.5,1,1,0,-0.5733956043956033,-0.5511756756756739,,-18.00800000000001,1.429000000000002,,71.79399083389224,224.75952601364904,0.5102040816326531,3.343666666666666,-2.1642831632652957
2024,OCO,Jeddah,2,Street,Alpine,13.0,Lapped,98.81012499999999,105.72242857142858,98.0130720998926,0.7970529001073885,0.852608884391343,-0.852608884391343,26.315789473684216,340.0,32.0,5.0,14.0,-9.0,24.0,0,1,1,,4.87074285714285,-0.4893671501499054,,34.22,-82.55499999999999,70.17523417806676,222.49236183178127,0.8541666666666666,1.136309523809524,6.912303571428595
2024,PER,Jeddah,2,Street,Red Bull,2.0,Finished,97.03457142857143,96.66450960384154,98.0130720998926,-0.9785006713211715,-1.0467038833168039,1.0467038833168039,84.21052631578947,337.0,33.0,9.0,13.0,-4.0,24.5,0,1,1,,4.28285714285713,-0.5358787375415295,,30.09999999999999,-94.538,72.52542782272045,226.11040388820135,0.2857142857142857,4.188190476190476,-0.3700618247298877
2024,PIA,Jeddah,2,Street,McLaren,4.0,Finished,97.48112244897959,92.65606666666666,98.0130720998926,-0.5319496509130062,-0.5690274740311408,0.5690274740311408,73.6842105263158,334.0,36.0,11.0,9.0,2.0,24.5,0,1,1,,4.521371428571425,-0.535569314406524,,31.638000000000005,-91.60399999999998,69.92318593808118,225.31832300239535,0.6938775510204082,3.0919285714285714,-4.82505578231293
2024,RIC,Jeddah,2,Street,RB,16.0,Lapped,99.15956249999999,111.24037499999999,98.0130720998926,1.1464904001073961,1.226402790667031,-1.226402790667031,10.526315789473683,339.0,36.38392822857143,7.0,8.0,-1.0,24.0,0,1,1,,4.824742857142847,-0.4763112389595633,,34.43899999999999,-98.176,67.20842357503263,221.0422221759034,0.8125,2.2129285714285714,12.080812499999993
2024,RUS,Jeddah,2,Street,Mercedes,6.0,Finished,97.60714285714286,148.70726530612242,98.0130720998926,-0.4059292427497354,-0.4342232225189118,0.4342232225189118,63.1578947368421,340.0,39.0,5.0,2.0,3.0,24.5,0,1,1,,4.802571428571424,-0.5210341286620365,,33.69000000000001,-88.431,69.93397378648622,224.7866666489432,0.9591836734693877,1.5349534883720932,51.10012244897956
2024,SAR,Jeddah,2,Street,Williams,14.0,Lapped,98.84579166666668,94.843,98.0130720998926,0.8327195667740881,0.8907615802444733,-0.8907615802444733,21.052631578947366,341.0,36.0,3.0,9.0,-6.0,24.0,0,1,1,,5.066171428571415,-0.4891298922291537,,35.93199999999999,-84.26200000000001,67.50661415785052,221.90389998826916,0.9791666666666666,0.8689552845528454,-4.002791666666681
