season,driver,race_name,round,circuit_type,team,fp1_pos,fp2_pos,fp3_pos,sprint_qualifying_pos,sprint_race_pos,qualifying_pos,race_pos,race_dnf_status,race_classified_position,weighted_performance_score
2024,MAG,Melbourne,3,Street,Haas,13.0,19.0,17.0,,,,,Lapped,10,11.900000000000002
2024,NOR,Catalunya,3,Permanent,McLaren,1.0,9.0,10.0,,,,,,,5.9
2024,NOR,Melbourne,3,Street,McLaren,1.0,9.0,10.0,,,,,,,5.9
2024,OCO,Catalunya,3,Permanent,Alpine,15.0,17.0,15.0,,,,,Lapped,16,10.9
2024,OCO,Melbourne,3,Street,Alpine,15.0,17.0,15.0,,,,,Lapped,16,10.9
2024,PER,Catalunya,3,Permanent,Red Bull,6.0,8.0,7.0,,,,,,,5.0
2024,PER,Melbourne,3,Street,Red Bull,6.0,8.0,7.0,,,,,,,5.0
2024,PIA,Catalunya,3,Permanent,McLaren,10.0,7.0,8.0,,,,,,,5.6000000000000005
2024,PIA,Melbourne,3,Street,McLaren,10.0,7.0,8.0,,,,,,,5.6000000000000005
2024,RIC,Catalunya,3,Permanent,RB,11.0,12.0,18.0,,,,,Lapped,12,10.700000000000001
2024,RIC,Melbourne,3,Street,RB,11.0,12.0,18.0,,,,,Lapped,12,10.700000000000001
2024,RUS,Catalunya,3,Permanent,Mercedes,3.0,6.0,5.0,,,,,Retired,17,3.5
2024,RUS,Melbourne,3,Street,Mercedes,3.0,6.0,5.0,,,,,Retired,17,3.5
2024,SAI,Catalunya,3,Permanent,Ferrari,8.0,3.0,3.0,,,,,,,2.6000000000000005
2024,SAI,Melbourne,3,Street,Ferrari,8.0,3.0,3.0,,,,,,,2.6000000000000005
2024,SAR,Catalunya,3,Permanent,Williams,14.0,13.0,,,,,,,,4.0
2024,STR,Catalunya,3,Permanent,Aston Martin,7.0,4.0,9.0,,,,,,,5.1
2024,STR,Melbourne,3,Street,Aston Martin,7.0,4.0,9.0,,,,,,,5.1
2024,TSU,Catalunya,3,Permanent,RB,5.0,10.0,11.0,,,,,,,6.9
2024,TSU,Melbourne,3,Street,RB,5.0,10.0,11.0,,,,,,,6.9
2024,VER,Catalunya,3,Permanent,Red Bull,2.0,2.0,2.0,,,,,Retired,R,1.4000000000000001
2024,VER,Melbourne,3,Street,Red Bull,2.0,2.0,2.0,,,,,Retired,R,1.4000000000000001
2024,ZHO,Catalunya,3,Permanent,Sauber,19.0,11.0,14.0,,,,,Lapped,15,9.700000000000001
2024,ZHO,Melbourne,3,Street,Sauber,19.0,11.0,14.0,,,,,Lapped,15,9.700000000000001
2024,ALO,Suzuka,4,Permanent,Aston Martin,7.0,,5.0,,,,,,,2.7
2024,BOT,Suzuka,4,Permanent,Sauber,14.0,9.0,12.0,,,,,Lapped,14,8.0
2024,GAS,Suzuka,4,Permanent,Alpine,17.0,,17.0,,,,,Lapped,16,8.5
2024,HAM,Suzuka,4,Permanent,Mercedes,5.0,2.0,4.0,,,,,,,2.5
2024,HUL,Suzuka,4,Permanent,Haas,13.0,8.0,16.0,,,,,Lapped,11,9.3
2024,LEC,Suzuka,4,Permanent,Ferrari,6.0,3.0,10.0,,,,,,,5.2
2024,MAG,Suzuka,4,Permanent,Haas,19.0,,20.0,,,,,Lapped,13,9.9
2024,NOR,Suzuka,4,Permanent,McLaren,10.0,6.0,6.0,,,,,,,4.6000000000000005
2024,OCO,Suzuka,4,Permanent,Alpine,11.0,10.0,14.0,,,,,Lapped,15,8.700000000000001
2024,PER,Suzuka,4,Permanent,Red Bull,2.0,,2.0,,,,,,,1.0
2024,PIA,Suzuka,4,Permanent,McLaren,8.0,1.0,8.0,,,,,,,4.2
2024,RUS,Suzuka,4,Permanent,Mercedes,4.0,,3.0,,,,,,,1.6
2024,SAI,Suzuka,4,Permanent,Ferrari,3.0,7.0,7.0,,,,,,,4.5
2024,SAR,Suzuka,4,Permanent,Williams,20.0,,19.0,,,,,Lapped,17,9.600000000000001
2024,STR,Suzuka,4,Permanent,Aston Martin,15.0,,18.0,,,,,Lapped,12,8.7
2024,TSU,Suzuka,4,Permanent,RB,9.0,4.0,9.0,,,,,Lapped,10,5.300000000000001
2024,VER,Suzuka,4,Permanent,Red Bull,1.0,,1.0,,,,,,,0.5
2024,ZHO,Suzuka,4,Permanent,Sauber,18.0,11.0,15.0,,,,,Retired,R,10.0
2024,ALB,Shanghai,5,Permanent,Williams,8.0,,,,,,,,,0.8
2024,ALO,Shanghai,5,Permanent,Aston Martin,19.0,,,,,,,,,1.9000000000000001
2024,BOT,Shanghai,5,Permanent,Sauber,10.0,,,,,,,Retired,R,1.0
2024,GAS,Shanghai,5,Permanent,Alpine,20.0,,,,,,,,,2.0
2024,HAM,Shanghai,5,Permanent,Mercedes,18.0,,,,,,,,,1.8
2024,HUL,Shanghai,5,Permanent,Haas,5.0,,,,,,,,,0.5
2024,LEC,Shanghai,5,Permanent,Ferrari,13.0,,,,,,,,,1.3
2024,MAG,Shanghai,5,Permanent,Haas,6.0,,,,,,,,,0.6000000000000001
2024,NOR,Shanghai,5,Permanent,McLaren,16.0,,,,,,,,,1.6
2024,OCO,Shanghai,5,Permanent,Alpine,7.0,,,,,,,,,0.7000000000000001
