season,race_name,round,circuit_type,team,driver,stint_index,compound,start_lap,end_lap,stint_length_laps,pit_ended_stint,avg_laptime,best_laptime,delta_laptime_first_to_last,laptime_slope_per_lap,avg_throttle_pct,avg_speed,max_speed,min_corner_speed,laps_in_traffic,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_avg_laptime
2024,Austin,19,Permanent,Alpine,GAS,1,MEDIUM,2,18,17,True,109.28517647058823,100.571,-1.0289999999999964,-1.918901960784316,55.534899990354255,179.206243832664,327.0,46.0,9,0.5294117647058824,3.104411764705883,108.734375
2024,Austin,19,Permanent,Alpine,GAS,2,HARD,19,56,38,False,100.86639473684212,98.311,-27.052999999999997,-0.17235332093227115,63.622403301092156,194.33394950697425,333.0,0.0,13,0.34210526315789475,4.203368421052631,101.06139999999999
2024,Austin,19,Permanent,Alpine,OCO,1,MEDIUM,2,31,30,True,106.10926666666666,101.194,1.6920000000000073,-0.7174153503893234,59.244823013415846,184.52671791354277,330.0,43.0,19,0.6333333333333333,2.2725000000000004,101.55945454545454
2024,Austin,19,Permanent,Alpine,OCO,2,HARD,32,51,20,True,101.23179999999999,99.573,-18.91900000000001,-0.27668421052631587,63.05362104424207,193.22181842488897,333.0,0.0,4,0.2,6.464149999999999,101.367625
2024,Austin,19,Permanent,Alpine,OCO,3,SOFT,52,55,4,False,106.773,97.33,-29.771000000000015,-8.665000000000015,60.74442729762876,184.4250557650296,311.0,0.0,0,0.0,8.52525,106.773
2024,Austin,19,Permanent,Aston Martin,ALO,1,MEDIUM,2,26,25,True,107.25560000000002,101.238,-0.527000000000001,-1.0216407692307692,55.13506193243,182.27689978155152,330.0,49.0,24,0.96,1.66796,101.297
2024,Austin,19,Permanent,Aston Martin,ALO,2,HARD,27,55,29,False,100.81220689655171,99.261,-20.741,-0.1679216748768478,59.817275364124725,194.49838465419597,330.0,0.0,6,0.20689655172413793,6.419071428571429,100.94308695652173
2024,Austin,19,Permanent,Aston Martin,STR,1,HARD,2,27,26,True,107.312,101.416,-0.5930000000000035,-0.9568252991453042,55.13407317740824,182.2889737825681,332.0,45.0,23,0.8846153846153846,1.808923076923077,102.34866666666666
2024,Austin,19,Permanent,Aston Martin,STR,2,MEDIUM,28,55,28,False,100.99964285714285,99.214,-21.73299999999999,-0.17678927203064837,61.17102623943763,193.4473528578417,336.0,0.0,14,0.5,4.676285714285713,100.10642857142857
2024,Austin,19,Permanent,Ferrari,LEC,1,MEDIUM,2,26,25,True,105.33839999999998,98.951,-0.12999999999999545,-1.0649907692307699,62.01904244134221,185.7727503035533,312.0,39.0,25,1.0,0.0,
2024,Austin,19,Permanent,Ferrari,LEC,2,HARD,27,56,30,False,99.20640000000002,97.834,-20.004000000000005,-0.1539826473859853,65.46575340377032,197.54152468563765,333.0,0.0,29,0.9666666666666667,0.3071,119.522
2024,Austin,19,Permanent,Ferrari,SAI,1,MEDIUM,2,21,20,True,107.1851,99.684,0.7719999999999914,-1.5300766917293218,59.98604976084549,182.46598900037336,331.0,37.0,19,0.95,1.5282105263157895,100.241
2024,Austin,19,Permanent,Ferrari,SAI,2,HARD,22,56,35,False,99.20645714285715,97.763,-16.814000000000007,-0.10346470588235529,64.13443224534618,197.48739422173543,320.0,0.0,0,0.0,6.805823529411764,99.20645714285715
2024,Austin,19,Permanent,Haas,HUL,1,MEDIUM,2,27,26,True,106.40369230769231,100.269,-1.6679999999999922,-1.0044752136752129,56.56402716392361,184.2456175217546,333.0,47.0,23,0.8846153846153846,2.0136923076923074,100.71433333333334
2024,Austin,19,Permanent,Haas,HUL,2,HARD,28,56,29,False,99.96606896551724,98.404,-23.271,-0.20551083743842388,63.16007562950911,196.54961993046305,314.0,0.0,9,0.3103448275862069,4.194862068965517,98.96095
2024,Austin,19,Permanent,Haas,MAG,1,MEDIUM,2,17,16,True,109.89518749999999,100.634,-0.14300000000000068,-2.0849308823529435,53.6480791007267,177.962415744945,333.0,42.0,16,1.0,1.2790625,
2024,Austin,19,Permanent,Haas,MAG,2,HARD,18,38,21,True,101.33204761904764,99.585,-19.947999999999993,-0.30463116883116764,62.45727480925681,193.31899179496892,338.0,0.0,12,0.5714285714285714,2.651238095238096,100.17655555555555
2024,Austin,19,Permanent,Haas,MAG,3,MEDIUM,39,56,18,False,99.89177777777779,98.21,-20.40700000000001,-0.398264189886482,63.36976599817042,196.04532349467712,338.0,0.0,7,0.3888888888888889,4.272235294117647,100.42045454545455
2024,Austin,19,Permanent,McLaren,NOR,1,MEDIUM,2,31,30,True,104.75356666666667,99.093,0.6049999999999898,-0.7939855394883226,58.51272000597399,186.70069621067293,310.0,42.0,19,0.6333333333333333,2.536066666666667,99.83809090909091
2024,Austin,19,Permanent,McLaren,NOR,2,HARD,32,56,25,False,99.17935999999997,97.679,-21.84700000000001,-0.18558384615384713,63.00025446468427,197.2160392194751,336.0,0.0,15,0.6,3.746279999999999,100.2507
2024,Austin,19,Permanent,McLaren,PIA,1,MEDIUM,2,32,31,True,104.73896774193551,99.016,-0.6610000000000014,-0.7513596774193582,57.998530438267466,187.1492717950914,310.0,39.0,12,0.3870967741935484,3.573870967741935,101.29647368421051
2024,Austin,19,Permanent,McLaren,PIA,2,HARD,33,56,24,False,99.19645833333334,97.883,-20.232,-0.20725347826086843,62.045442987952704,197.71775339730988,326.0,0.0,2,0.08333333333333333,6.759249999999999,99.25813636363637
2024,Austin,19,Permanent,Mercedes,RUS,1,HARD,2,40,39,True,104.0394871794872,98.997,-2.8619999999999948,-0.5342180161943334,58.370810831557435,188.02688619240888,344.0,47.0,27,0.6923076923076923,3.1558461538461535,99.59491666666668
2024,Austin,19,Permanent,Mercedes,RUS,2,MEDIUM,41,56,16,False,99.79668749999999,97.656,-26.257999999999996,-0.522816176470587,62.43087493081403,195.68049876213286,337.0,0.0,9,0.5625,4.658,101.62857142857142
2024,Austin,19,Permanent,RB,LAW,1,HARD,2,36,35,True,105.02951428571428,100.235,-1.4669999999999987,-0.6023170868347352,59.5504544657234,185.98512449303212,338.0,38.0,16,0.45714285714285713,4.476,102.61526315789474
2024,Austin,19,Permanent,RB,LAW,2,MEDIUM,37,56,20,False,99.75975,98.091,-20.325000000000003,-0.33331203007518817,65.00170616841311,196.41358448129148,332.0,0.0,2,0.1,8.183049999999998,98.7051111111111
2024,Austin,19,Permanent,RB,TSU,1,MEDIUM,2,18,17,True,109.56776470588235,100.953,0.5619999999999976,-1.8793455882352992,55.64997885246102,178.06331206848552,336.0,47.0,16,0.9411764705882353,1.4159411764705883,131.6
2024,Austin,19,Permanent,RB,TSU,2,HARD,19,55,37,False,101.20502702702704,99.193,-23.468999999999994,-0.13562375533428092,62.45472554809643,193.24771944860552,334.0,0.0,27,0.7297297297297297,2.6175405405405403,101.7366
