Season,Driver,Round,Race_Name,Circuit_Type,Team,Car_Number,Finish_Position,DNF,DNF_Reason,Quali_Position,Avg_Lap_Time,Lap_Variance,Race_Pace_Delta,Num_Pit_Stops,Avg_Pit_Stop_Time,Tyres_Used,Track_Performance_Delta
2024,ALO,2,Saudi Arabian Grand Prix,Street,Aston Martin,14,5.0,0.0,,4.0,93.86997872340424,1.2352905570783872,2.2379787234042396,1,,"MEDIUM,HARD",-5.166666666666666
2024,STR,2,Saudi Arabian Grand Prix,Street,Aston Martin,18,19.0,1.0,Retired,10.0,97.1216,2.9731662079338927,5.489599999999996,0,,MEDIUM,5.625
2024,OCO,2,Saudi Arabian Grand Prix,Street,Alpine,31,13.0,1.0,Lapped,17.0,96.55753191489362,7.273375183416702,4.925531914893611,1,,"MEDIUM,HARD",-0.695652173913043
2024,GAS,2,Saudi Arabian Grand Prix,Street,Alpine,10,20.0,1.0,Retired,18.0,,,,0,,MEDIUM,7.125
2024,ALB,2,Saudi Arabian Grand Prix,Street,Williams,23,11.0,0.0,,12.0,96.25064583333331,7.515667412753919,4.618645833333304,1,,"MEDIUM,HARD",-3.541666666666666
2024,SAR,2,Saudi Arabian Grand Prix,Street,Williams,2,14.0,1.0,Lapped,19.0,96.56212765957444,6.9361004381205875,4.930127659574438,1,,"MEDIUM,HARD",-3.1428571428571423
2024,BOT,2,Saudi Arabian Grand Prix,Street,Sauber,77,17.0,1.0,Lapped,16.0,96.51917777777778,7.24587644579155,4.887177777777779,2,,"SOFT,HARD",1.166666666666666
2024,ZHO,2,Saudi Arabian Grand Prix,Street,Sauber,24,18.0,1.0,Lapped,20.0,97.22947826086957,9.851006082266432,5.597478260869565,1,,"MEDIUM,SOFT",2.5
2024,MAG,2,Saudi Arabian Grand Prix,Street,Haas,20,12.0,0.0,,13.0,96.19622916666667,7.561973026449395,4.564229166666664,1,,"MEDIUM,HARD",-1.3636363636363633
2024,HUL,2,Saudi Arabian Grand Prix,Street,Haas,27,10.0,0.0,,15.0,95.39647826086957,5.548176131703625,3.7644782608695664,1,,"MEDIUM,HARD",-1.625
2024,TSU,2,Saudi Arabian Grand Prix,Street,RB,22,15.0,1.0,Lapped,9.0,96.56021276595746,7.816670891326544,4.928212765957454,1,,"MEDIUM,HARD",1.833333333333334
2024,RIC,2,Saudi Arabian Grand Prix,Street,RB,3,16.0,1.0,Lapped,14.0,96.54897872340426,5.427484970797534,4.916978723404256,1,,"MEDIUM,HARD",2.6111111111111107
2024,BOR,2,Saudi Arabian Grand Prix,Street,Sauber,5,,,,,,,,0,,,
2024,VER,3,Australian Grand Prix,Street,Red Bull,1,19.0,1.0,Retired,1.0,84.89066666666668,2.2771614640453883,5.077666666666673,0,,MEDIUM,15.375
2024,PER,3,Australian Grand Prix,Street,Red Bull,11,5.0,0.0,,3.0,83.50811111111112,6.385254241083157,3.6951111111111175,2,,"MEDIUM,HARD",-4.625
2024,HAM,3,Australian Grand Prix,Street,Mercedes,44,18.0,1.0,Retired,11.0,84.108,2.937534425330196,4.295000000000002,1,,"SOFT,HARD",11.041666666666668
2024,RUS,3,Australian Grand Prix,Street,Mercedes,63,17.0,1.0,Retired,7.0,83.01357692307693,3.1362677415852094,3.200576923076923,2,,"MEDIUM,HARD",10.25
2024,LEC,3,Australian Grand Prix,Street,Ferrari,16,2.0,0.0,,5.0,82.61850000000001,4.708792849953541,2.805500000000009,2,,"MEDIUM,HARD",-2.541666666666667
2024,SAI,3,Australian Grand Prix,Street,Ferrari,55,1.0,0.0,,2.0,82.29709259259259,4.356647076133415,2.4840925925925887,2,,"MEDIUM,HARD",-4.695652173913044
2024,NOR,3,Australian Grand Prix,Street,McLaren,4,3.0,0.0,,4.0,82.66377777777778,4.781405397195165,2.850777777777779,2,,"MEDIUM,HARD",-1.291666666666667
2024,PIA,3,Australian Grand Prix,Street,McLaren,81,4.0,0.0,,6.0,83.23337037037037,6.3362008535449705,3.420370370370364,2,,"MEDIUM,HARD",-1.125
2024,ALO,3,Australian Grand Prix,Street,Aston Martin,14,8.0,0.0,,10.0,83.74385185185186,6.708387915920503,3.9308518518518554,2,,"HARD,MEDIUM",-2.166666666666666
2024,STR,3,Australian Grand Prix,Street,Aston Martin,18,6.0,0.0,,9.0,84.24787037037038,6.495828101075964,4.434870370370376,2,,"MEDIUM,HARD",-7.375
2024,OCO,3,Australian Grand Prix,Street,Alpine,31,16.0,1.0,Lapped,15.0,84.10392156862746,6.141850525185833,4.2909215686274536,3,,"MEDIUM,HARD",2.304347826086957
2024,GAS,3,Australian Grand Prix,Street,Alpine,10,13.0,1.0,Lapped,17.0,84.19537735849057,5.624035391569949,4.382377358490572,2,,"MEDIUM,HARD",0.125
2024,ALB,3,Australian Grand Prix,Street,Williams,23,11.0,1.0,Lapped,12.0,84.13009433962264,5.055598759578529,4.317094339622642,2,,"MEDIUM,HARD",-3.541666666666666
2024,SAR,3,Australian Grand Prix,Street,Williams,2,,,,,,,,0,,,
2024,BOT,3,Australian Grand Prix,Street,Sauber,77,14.0,1.0,Lapped,13.0,84.2627924528302,6.049312422335193,4.449792452830195,2,,"MEDIUM,HARD",-1.833333333333334
2024,ZHO,3,Australian Grand Prix,Street,Sauber,24,15.0,1.0,Lapped,19.0,84.17636538461537,5.834385748299024,4.3633653846153635,3,,"SOFT,HARD",-0.5
2024,MAG,3,Australian Grand Prix,Street,Haas,20,10.0,1.0,Lapped,14.0,84.08790566037737,5.293576224154035,4.274905660377371,2,,"MEDIUM,HARD",-3.3636363636363633
2024,HUL,3,Australian Grand Prix,Street,Haas,27,9.0,0.0,,16.0,84.15425925925926,5.677359013263005,4.34125925925926,2,,"HARD,MEDIUM",-2.625
2024,TSU,3,Australian Grand Prix,Street,RB,22,7.0,0.0,,8.0,84.22300000000001,6.004736111902412,4.410000000000011,2,,"MEDIUM,HARD",-6.166666666666666
2024,RIC,3,Australian Grand Prix,Street,RB,3,12.0,1.0,Lapped,18.0,84.17030188679247,5.603116143941366,4.35730188679247,2,,"SOFT,HARD",-1.3888888888888893
2024,BOR,3,Australian Grand Prix,Street,Sauber,5,,,,,,,,0,,,
2024,VER,4,Japanese Grand Prix,Permanent,Red Bull,1,1.0,0.0,,1.0,96.02823913043478,1.1820288243295478,2.322239130434781,3,,"MEDIUM,HARD",-2.625
2024,PER,4,Japanese Grand Prix,Permanent,Red Bull,11,2.0,0.0,,2.0,96.30945652173912,1.288117570660928,2.603456521739119,3,,"MEDIUM,HARD",-7.625
2024,HAM,4,Japanese Grand Prix,Permanent,Mercedes,44,9.0,0.0,,7.0,97.00691304347825,1.8527322745500545,3.3009130434782463,3,,"MEDIUM,HARD",2.041666666666667
2024,RUS,4,Japanese Grand Prix,Permanent,Mercedes,63,7.0,0.0,,9.0,96.93771739130435,1.637215341338164,3.2317173913043433,3,,"MEDIUM,HARD",0.25
