season,driver,race_name,round,circuit_type,team,finishing_position,race_status,avg_race_pace,clean_air_avg_race_pace,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2024,ALB,Sakhir,1,Permanent,Williams,15.0,Lapped,98.41345454545454,98.35303844155844,330.0,19.333333333333332,7.0,5.0,2.0,18.333333333333332,1,0,2,0.0955472527472532,,-0.239994976076554,2.345000000000013,,-19.859,60.76582980580583,195.93514017998623,0.6363636363636364,2.7278000000000002,-0.06041610389610241
2024,ALO,Sakhir,1,Permanent,Aston Martin,9.0,Finished,97.82053571428573,97.55873091382303,326.0,17.333333333333332,12.0,16.0,-4.0,18.666666666666668,1,0,2,0.0979868131868144,,-0.3027050615887378,3.081000000000003,,-20.088,62.82688607252284,197.40759254149793,0.35714285714285715,8.749179487179488,-0.2618048004626985
2024,BOT,Sakhir,1,Permanent,Sauber,19.0,Lapped,99.6261090909091,98.88350909090909,330.0,18.0,7.0,13.0,-6.0,18.333333333333332,1,0,2,0.2334090909090901,,-0.444345583339947,4.885999999999996,,-46.0695,63.80063582547623,193.98575222091233,0.4727272727272727,15.92082364672365,-0.7426000000000101
2024,GAS,Sakhir,1,Permanent,Alpine,18.0,Lapped,98.72579999999999,103.09968333333333,326.0,14.25,12.0,18.0,-6.0,13.75,2,0,2,-0.24771303696303532,,-0.5464955220218356,-8.998999999999995,,-22.305999999999997,65.19575114761783,195.87770621402194,0.509090909090909,4.241595867071524,4.373883333333339
2024,HAM,Sakhir,1,Permanent,Mercedes,7.0,Finished,97.35614285714284,96.53294111111111,330.0,19.666666666666668,7.0,4.0,3.0,18.666666666666668,1,0,2,0.1153636363636352,,-0.2030335855448871,2.6159999999999997,,-18.8925,63.782242547364945,198.48313648041741,0.42857142857142855,2.7270317460317464,-0.823201746031728
2024,HUL,Sakhir,1,Permanent,Haas,16.0,Lapped,98.34216363636365,98.53306266233768,335.0,0.0,1.0,19.0,-18.0,18.333333333333332,1,0,2,-0.4832785714285683,,-0.3292717817270435,-20.506,,-24.621499999999997,63.743262443556574,197.18717153957942,0.16363636363636355,10.895020885547202,0.19089902597403352
2024,LEC,Sakhir,1,Permanent,Ferrari,4.0,Finished,97.25249999999998,96.57974999999999,325.0,19.0,16.0,8.0,8.0,18.666666666666668,1,0,2,0.2683575757575842,,-0.182469367588935,4.875,,-18.8495,67.4695919822903,198.90317426594044,0.7321428571428571,3.320960869565217,-0.6727499999999935
2024,MAG,Sakhir,1,Permanent,Haas,12.0,Lapped,98.34016363636366,98.57362666666668,333.0,18.666666666666668,2.0,11.0,-9.0,18.333333333333332,1,0,2,0.1646424242424264,,-0.1763650762281177,2.1769999999999925,,-19.094,64.30848800128057,196.45288211503978,0.7636363636363637,2.0957801932367146,0.23346303030302806
2024,NOR,Sakhir,1,Permanent,McLaren,6.0,Finished,97.33985714285713,98.50901785714287,323.0,18.0,20.0,13.0,7.0,18.666666666666668,1,0,2,0.1331188811188841,,-0.19916203334423016,2.625,,-19.229999999999997,63.11039543949995,198.4009312050301,0.6071428571428571,2.9107583333333333,1.1691607142857379
2024,OCO,Sakhir,1,Permanent,Alpine,17.0,Lapped,98.71881818181818,98.61933922077925,325.0,19.333333333333332,16.0,5.0,11.0,18.333333333333332,1,0,2,0.2320166666666587,,-0.17379320930531433,2.548000000000002,,-19.8555,65.34507058352166,195.84697729782718,0.4909090909090909,3.7224743589743583,-0.09947896103892617
2024,PER,Sakhir,1,Permanent,Red Bull,2.0,Finished,96.91332142857144,97.00218993506495,331.0,18.666666666666668,5.0,11.0,-6.0,18.666666666666668,2,0,1,-0.016975324675321646,,-0.1680126086956502,-8.163000000000004,,-18.259,65.26617966272809,199.02018923313153,0.21428571428571427,11.265176226551228,0.08886850649351175
2024,PIA,Sakhir,1,Permanent,McLaren,8.0,Finished,97.46966071428571,97.46022835978836,326.0,19.0,12.0,8.0,4.0,18.666666666666668,1,0,2,0.1213090909090909,,-0.2104181253529097,2.3569999999999993,,-21.630499999999998,62.79860904723506,198.21552676048736,0.44642857142857145,2.9427364953886688,-0.009432354497349138
2024,RIC,Sakhir,1,Permanent,RB,13.0,Lapped,98.32785454545454,102.69879772727273,329.0,19.333333333333332,11.0,5.0,6.0,18.333333333333332,2,0,1,-0.01893081918081739,,-0.1891146245059272,-8.334499999999998,,-18.813,62.444908734383304,196.09561213629658,0.7818181818181819,2.2147045454545453,4.370943181818191
2024,RUS,Sakhir,1,Permanent,Mercedes,5.0,Finished,97.36253571428571,96.6656277056277,325.0,20.666666666666668,16.0,1.0,15.0,18.666666666666668,1,0,2,0.2669575757575836,,-0.21238647259173604,3.879999999999995,,-19.940999999999995,64.56872698392205,198.6178666916021,0.30357142857142855,5.503857692307693,-0.6969080086580135
2024,SAI,Sakhir,1,Permanent,Ferrari,3.0,Finished,96.95057142857142,97.26224330357142,332.0,17.333333333333332,3.0,16.0,-13.0,18.666666666666668,1,0,2,0.0870164835164891,,-0.21355942970073305,2.516999999999996,,-19.122,67.71945230093048,199.82108295458212,0.625,3.0927388167388163,0.3116718750000018
2024,SAR,Sakhir,1,Permanent,Williams,20.0,Lapped,100.36325925925928,109.68831481481483,326.0,0.0,12.0,19.0,-7.0,13.5,2,0,2,1.9224154761904768,,-0.7265264438863495,19.653000000000013,,-26.8335,61.76518455777087,192.38261177076797,0.14814814814814814,37.36623055555555,9.32505555555555
2024,STR,Sakhir,1,Permanent,Aston Martin,10.0,Finished,97.99542857142858,97.2932,332.0,19.0,3.0,8.0,-5.0,18.666666666666668,1,0,2,0.3950000000000029,,-0.1739372422746976,4.125,,-18.205000000000005,62.27086439122179,197.0525154239301,0.5535714285714286,5.025576851851852,-0.7022285714285772
2024,TSU,Sakhir,1,Permanent,RB,14.0,Lapped,98.37707272727273,102.37252380952383,330.0,20.0,7.0,3.0,4.0,18.333333333333332,1,0,2,0.1175879120879128,,-0.2291651193200402,2.4490000000000123,,-19.3485,62.68736157051154,196.03149671213401,0.8727272727272727,2.0481327228327233,3.995451082251094
2024,VER,Sakhir,1,Permanent,Red Bull,1.0,Finished,96.56175,,324.0,20.333333333333332,19.0,2.0,17.0,18.666666666666668,2,0,1,-0.09575866320212215,,-0.2216954887218049,-8.960999999999999,,-18.620000000000005,64.6971386648956,200.01541598721164,1.0,0.0,
2024,ZHO,Sakhir,1,Permanent,Sauber,11.0,Lapped,98.30363636363637,98.40886524822696,331.0,18.0,5.0,13.0,-8.0,18.333333333333332,1,0,2,0.342619047619043,,-0.18131524356868783,2.929000000000002,,-19.198,64.5434723412443,196.64609404010903,0.36363636363636365,3.88073544973545,0.10522888459058777
2024,ALB,Jeddah,2,Street,Williams,11.0,Finished,98.5306326530612,92.816375,344.0,35.5,1.0,11.0,-10.0,24.5,0,1,1,,4.865999999999994,-0.5170465116279077,,34.06,-87.676,66.47865400867732,222.90895172198302,0.8367346938775511,1.230029069767442,-5.71425765306121
2024,ALO,Jeddah,2,Street,Aston Martin,5.0,Finished,97.56173469387754,93.2681875,327.0,37.5,17.0,6.0,11.0,24.5,0,1,1,,4.448114285714282,-0.543354122621566,,31.158999999999992,-92.513,71.1257926744096,224.59496431967912,0.3469387755102041,2.1462261904761903,-4.293547193877544
2024,BEA,Jeddah,2,Street,Ferrari,7.0,Finished,97.619,93.17763333333332,339.0,38.5,7.0,4.0,3.0,24.5,1,0,1,4.872399999999992,,-0.5165931742675931,33.753,,-87.40199999999999,73.79571062364508,225.63939678242008,0.3877551020408163,2.467158914728682,-4.441366666666681
2024,BOT,Jeddah,2,Street,Sauber,17.0,Lapped,99.1985625,95.68680952380953,342.0,23.0,2.0,18.0,-16.0,16.0,2,0,1,2.167821978021975,,-0.9524857690202476,6.781500000000008,,-79.46799999999999,71.45734147613699,221.73151934233695,0.625,6.59829365079365,-3.511752976190465
2024,HAM,Jeddah,2,Street,Mercedes,9.0,Finished,97.75028571428572,99.75327731092437,334.0,24.0,11.0,17.0,-6.0,24.5,1,1,0,-0.4347340659340717,-0.5852235294117648,,-16.171000000000006,0.4260000000000019,,69.77961400135432,224.5735678084982,0.6326530612244898,2.392207142857143,2.002991596638651
2024,HUL,Jeddah,2,Street,Haas,10.0,Finished,98.2963469387755,94.52222721088437,330.0,26.5,16.0,15.0,1.0,24.5,0,1,1,,-0.6354186217008808,-0.4117132352941174,,-1.2349999999999994,-18.781999999999996,71.15414675418268,224.20607312277235,0.3469387755102041,11.278018026565462,-3.774119727891133
2024,LEC,Jeddah,2,Street,Ferrari,3.0,Finished,97.24961224489793,92.89294217687075,334.0,35.5,11.0,11.0,0.0,24.5,0,1,1,,4.328971428571422,-0.547718212020538,,30.652,-94.774,74.88506125825684,225.9313394216695,0.4897959183673469,3.8663116279069762,-4.356670068027185
2024,MAG,Jeddah,2,Street,Haas,12.0,Finished,98.48675510204083,94.51666448979593,336.0,36.5,10.0,7.0,3.0,24.5,0,1,1,,4.887371428571425,-0.511767743884024,,34.04199999999999,-85.42399999999999,70.81175956284656,223.39524909320951,0.46938775510204084,2.4618999999999995,-3.9700906122449027
2024,NOR,Jeddah,2,Street,McLaren,8.0,Finished,97.7358163265306,95.5715331632653,314.0,19.5,18.0,19.0,-1.0,24.5,1,1,0,-0.5733956043956033,-0.5511756756756739,,-18.00800000000001,1.429000000000002,,71.79399083389224,224.75952601364904,0.5102040816326531,3.343666666666666,-2.1642831632652957
2024,OCO,Jeddah,2,Street,Alpine,13.0,Lapped,98.81012499999999,105.72242857142858,340.0,32.0,5.0,14.0,-9.0,24.0,0,1,1,,4.87074285714285,-0.4893671501499054,,34.22,-82.55499999999999,70.17523417806676,222.49236183178127,0.8541666666666666,1.136309523809524,6.912303571428595
2024,PER,Jeddah,2,Street,Red Bull,2.0,Finished,97.03457142857143,96.66450960384154,337.0,33.0,9.0,13.0,-4.0,24.5,0,1,1,,4.28285714285713,-0.5358787375415295,,30.09999999999999,-94.538,72.52542782272045,226.11040388820135,0.2857142857142857,4.188190476190476,-0.3700618247298877
2024,PIA,Jeddah,2,Street,McLaren,4.0,Finished,97.48112244897959,92.65606666666666,334.0,36.0,11.0,9.0,2.0,24.5,0,1,1,,4.521371428571425,-0.535569314406524,,31.638000000000005,-91.60399999999998,69.92318593808118,225.31832300239535,0.6938775510204082,3.0919285714285714,-4.82505578231293
2024,RIC,Jeddah,2,Street,RB,16.0,Lapped,99.15956249999999,111.24037499999999,339.0,36.38392822857143,7.0,8.0,-1.0,24.0,0,1,1,,4.824742857142847,-0.4763112389595633,,34.43899999999999,-98.176,67.20842357503263,221.0422221759034,0.8125,2.2129285714285714,12.080812499999993
2024,RUS,Jeddah,2,Street,Mercedes,6.0,Finished,97.60714285714286,148.70726530612242,340.0,39.0,5.0,2.0,3.0,24.5,0,1,1,,4.802571428571424,-0.5210341286620365,,33.69000000000001,-88.431,69.93397378648622,224.7866666489432,0.9591836734693877,1.5349534883720932,51.10012244897956
2024,SAR,Jeddah,2,Street,Williams,14.0,Lapped,98.84579166666668,94.843,341.0,36.0,3.0,9.0,-6.0,24.0,0,1,1,,5.066171428571415,-0.4891298922291537,,35.93199999999999,-84.26200000000001,67.50661415785052,221.90389998826916,0.9791666666666666,0.8689552845528454,-4.002791666666681
2024,STR,Jeddah,2,Street,Aston Martin,19.0,Retired,95.79475,,312.0,73.0,19.0,1.0,18.0,4.0,0,1,0,,-0.1657000000000145,,,-0.5339999999999918,,72.86803503527887,228.68017365623328,1.0,2.166,
2024,TSU,Jeddah,2,Street,RB,15.0,Lapped,98.88072916666668,99.455125,341.0,39.0,3.0,2.0,1.0,24.0,0,1,1,,4.918057142857129,-0.5148251357264377,,34.04099999999998,-86.00200000000001,68.0626259678276,222.05564105686707,0.9583333333333334,1.4580595238095237,0.5743958333333126
2024,VER,Jeddah,2,Street,Red Bull,1.0,Finished,96.89322448979595,,331.0,38.0,14.0,5.0,9.0,24.5,0,1,1,,4.076285714285702,-0.5369559045605554,,28.714,-97.31,72.8149491272517,226.9005139532637,1.0,0.0568255813953488,
2024,ZHO,Jeddah,2,Street,Sauber,18.0,Lapped,99.31260416666667,95.47491666666667,331.0,25.0,14.0,16.0,-2.0,24.0,1,1,0,-3.7665476190476137,-0.4773770168855535,,-45.184,-2.1599999999999966,,69.7447471739532,221.55836852047696,0.3125,7.2122875,-3.8376875000000013
2024,ALB,Catalunya,3,Permanent,Williams,11.0,Lapped,82.257125,82.4779986111111,332.0,14.333333333333334,8.0,14.0,-6.0,21.333333333333332,2,1,0,-0.1296387677539835,0.1125441176470599,,-15.7025,4.620999999999995,,68.51160665608336,222.4441424490746,0.453125,3.696079215686274,0.22087361111110226
2024,ALB,Melbourne,3,Street,Williams,11.0,Lapped,84.57321428571427,83.5441850140056,332.0,14.333333333333334,8.0,9.0,-1.0,18.666666666666668,0,1,2,,2.6960000000000077,0.1192360992733631,,13.325000000000005,15.095999999999998,68.57667232829307,222.36454750886537,0.26785714285714285,3.363805555555556,-1.0290292717086658
2024,ALO,Catalunya,3,Permanent,Aston Martin,8.0,Finished,81.57084375,82.91126826923076,331.0,19.0,12.0,11.0,1.0,21.333333333333332,1,1,1,0.0335304437564516,-0.1269063247863246,-0.211646616541356,2.796999999999997,-14.697000000000005,-18.565000000000012,71.7507193863815,222.10895179112546,0.6875,5.084745441595442,1.3404245192307656
2024,ALO,Melbourne,3,Street,Aston Martin,8.0,Finished,84.44442105263158,84.18286315789474,331.0,19.0,12.0,5.0,7.0,19.0,0,1,2,,0.0980373913043484,0.7728968137254905,,8.265,32.719500000000004,72.00891015233604,222.37558371248443,0.3684210526315789,7.763460784313726,-0.2615578947368391
2024,BOT,Catalunya,3,Permanent,Sauber,14.0,Lapped,82.24279687499998,82.70068667861409,327.0,26.333333333333332,16.0,6.0,10.0,21.333333333333332,2,0,1,0.013737344028520691,,-0.0693357041251781,-5.5035000000000025,,-18.19,73.30152126031962,221.28707732691709,0.42187499999999994,4.230405092592592,0.45788980361410836
2024,BOT,Melbourne,3,Street,Sauber,14.0,Lapped,85.25725,84.68900923076922,327.0,7.0,16.0,15.0,1.0,18.666666666666668,0,1,2,,4.544714285714273,0.23114516345723415,,42.301,19.611000000000004,73.2708906218805,221.1635783341731,0.32142857142857134,6.597972222222222,-0.5682407692307834
2024,GAS,Catalunya,3,Permanent,Alpine,13.0,Lapped,81.16412307692308,80.53579897435898,337.0,27.666666666666668,3.0,5.0,-2.0,21.666666666666668,1,1,1,0.2019175824175872,-0.1206882608695654,-0.113166666666664,4.334000000000003,-17.24300000000001,-15.694999999999991,71.78602830819537,220.99640442441313,0.24615384615384617,6.606875,-0.6283241025640933
2024,GAS,Melbourne,3,Street,Alpine,13.0,Lapped,85.09807142857143,84.20875,337.0,9.666666666666666,3.0,13.0,-10.0,18.666666666666668,0,1,2,,0.777698529411764,0.474780063938621,,33.138999999999996,23.676999999999992,71.82728570391399,221.27368029540457,0.6607142857142857,7.8063125,-0.889321428571435
2024,HAM,Catalunya,3,Permanent,Mercedes,18.0,Retired,80.51655384615383,79.80231333333333,331.0,0.0,12.0,18.0,-6.0,21.666666666666668,2,1,0,0.011104390175042056,-0.104546398046401,,-5.890500000000003,-14.182999999999993,,68.53853363440632,213.99275967367848,0.676923076923077,3.404387332259796,-0.7142405128204956
2024,HAM,Melbourne,3,Street,Mercedes,18.0,Retired,84.62414285714286,88.164,331.0,39.5,12.0,2.0,10.0,7.0,1,0,1,1.840571428571421,,-0.3562619047619025,12.802999999999995,,-4.022999999999996,72.09529844309087,220.78907239395016,0.9285714285714286,1.7567291666666667,3.5398571428571444
2024,HUL,Catalunya,3,Permanent,Haas,9.0,Finished,81.33033846153846,81.77944797178131,336.0,29.666666666666668,4.0,3.0,1.0,21.666666666666668,1,1,1,0.2632363636363655,-0.1248745299145308,-0.1310755336617376,5.393000000000001,-15.852999999999994,-18.32799999999999,70.67058895752967,222.54793539876079,0.5230769230769231,2.98416830700164,0.44910951024284884
