id,season,round,race_name,gp_name,track_id,race_date
371c0280-c24f-4e5c-ab29-a11ccef1e0c1,2025,161.0,Imola,Emilia Romagna Grand Prix,39a4353c-4ce8-4f9c-b983-51dcb1a606e2,
330007bf-f559-4c55-9333-3a916743f434,2025,181.0,Hungaroring,Hungarian Grand Prix,9c2eee39-b163-4908-98b0-028af331f6a8,
0cad6a04-f6d4-4b88-b2e1-04aeef40e7f3,2025,201.0,Monza,Italian Grand Prix,de591c4a-c7dd-469e-af0c-c8af2d26c239,
ecdf8fa9-aa91-4b4a-b226-98075a415cde,2025,221.0,Suzuka,Japanese Grand Prix,45100642-955a-40aa-9d0d-c0a9db0634f1,
8264fcec-c87f-4508-9184-d2706b947a62,2025,241.0,Las Vegas,Las Vegas Grand Prix,cea2af3f-93bc-49ff-82e0-e818778bf5c8,
b29ac769-910e-4809-b3f9-6933f2c3aa92,2025,261.0,Mexico City,Mexico City Grand Prix,1f510bbd-63b2-4839-bed2-9230c952324c,
b3ee27a7-e15c-4f9a-82f8-99c9150ce5e7,2025,281.0,Monte Carlo,Monaco Grand Prix,3bc68f84-aac5-4779-83be-7decbf70acca,
d0567348-7c01-4717-a7ee-86af8bc68b73,2025,301.0,Pre-Season Testing,Pre-Season Testing,4cf836ca-02ff-4f1f-a3ba-e3e50ca8295f,
d2d07edc-1204-48f3-a4e7-86bbd0a3df8a,2025,,Lusail,Qatar Grand Prix,e4aa9140-dbec-4b45-a860-d1ea0d0350dc,
dc598e33-9452-45f0-9656-6c4d6836aa12,2025,321.0,Jeddah,Saudi Arabian Grand Prix,efa9e2f8-5bc2-4a9a-acfd-9cc47b8f838f,
4192a32e-8214-41ca-8b60-826742b95a9c,2025,341.0,Singapore,Singapore Grand Prix,7676c2bc-4a73-48f7-a7dd-6ebffeaff342,
9f569781-bdaa-484c-b3e9-880343610b9c,2025,361.0,Catalunya,Spanish Grand Prix,ebc51513-5837-4f2e-b870-f71d766ff429,
79e45d23-5aaa-4cdc-a1be-470e27bb41ff,2025,,Interlagos,São Paulo Grand Prix,07f218ec-5781-41f1-8edc-6f63313737e6,
2eb19531-f1f2-4a8f-a71e-076285271571,2025,,Austin,United States Grand Prix,1523fc54-78b6-428e-9866-64602d9f47a4,
