id,race_finish_pos,race_status,qualifying_pos,fastest_lap,fp1_pos,fp1_time_fastest_lap,fp2_pos,fp2_time_fastest_lap,fp3_pos,fp3_time_fastest_lap,qualifying_final_grid_pos,q1_time_seconds,q1_position,q1_fastest_lap,q2_time_seconds,q2_position,q2_fastest_lap,q3_time_seconds,q3_position,q3_fastest_lap,race_finish_pos,position_gain_from_quali_to_race,driver_avg_pace,driver_clean_air_pace,driver_grid_avg_pace,driver_pace_delta_to_grid,driver_pace_zscore_vs_grid,driver_pace_score_vs_grid,driver_pace_score_0_100,driver_top_speed,driver_corner_speed,driver_top_speed_rank,driver_corner_speed_rank,driver_drag_index,avg_race_pos_3_races,avg_race_pos_5_races,avg_race_pos_7_races,race_id,driver_id,team_id
3d65c9d6-5ccd-4a7d-8487-e0b272c25464,19.0,Retired,15.0,1:25.637,8.0,1:25.444,8.0,1:24.234,8.0,1:24.093,15.0,83.632,7.0,1:23.632,83.877,15.0,1:23.876,,,,16.0,-1.0,92.39176785714288,91.01518421052631,91.1956434646002,1.1961243925426714,0.8174737028078272,-0.8174737028078272,10.526315789473683,319.0,35.8,3.0,7.0,-4.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,60b02cb4-9e82-4955-bed9-7b8d40b28266,9ce8fc06-61f2-4c19-8be7-5c070425fd4c
7d1d892d-f740-41aa-80cd-0a69a5509cb7,1.0,Finished,1.0,1:27.438,2.0,1:24.542,1.0,1:23.516,2.0,1:23.626,1.0,83.682,10.0,1:23.682,83.098,5.0,1:23.097,82.595,1.0,1:22.594,1.0,0.0,89.51138596491226,,91.1956434646002,-1.6842574996879307,-1.1510811277955166,1.1510811277955166,94.73684210526316,310.0,29.0,11.0,12.0,-1.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,b34c803f-2e33-48a4-bffb-499598604cf9,d3cdf2e4-9756-4de7-8fee-cb87fb530b7f
53e2457c-07cf-480e-945a-63c9ec49b920,,,10.0,,10.0,1:25.483,14.0,1:24.555,10.0,1:24.283,10.0,83.559,6.0,1:23.558,83.379,10.0,1:23.379,83.264,10.0,1:23.263,20.0,-10.0,,,,,,,,,,,,,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,d162e0ad-1954-4454-a548-630421348097,b3f66b7a-d3e3-431b-9249-f6dd20ce6f7f
b86e668a-227c-4643-93bd-d18fa54c839a,3.0,Finished,2.0,1:27.689,,,2.0,1:23.751,1.0,1:23.433,2.0,83.64,8.0,1:23.640,83.199,6.0,1:23.198,82.804,2.0,1:22.804,10.0,-8.0,90.76061403508773,91.92882592592592,91.1956434646002,-0.4350294295124683,-0.2973144940368293,0.2973144940368293,52.63157894736843,319.0,39.666666666666664,3.0,3.0,0.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,d31df4d0-71a1-40fc-bf79-61af13e1acd7,d3cdf2e4-9756-4de7-8fee-cb87fb530b7f
133ffa3d-c5fe-4e64-8bea-4827f1508425,4.0,Finished,7.0,1:28.194,4.0,1:25.165,13.0,1:24.534,6.0,1:24.075,7.0,83.678,9.0,1:23.677,83.283,8.0,1:23.283,83.132,7.0,1:23.132,5.0,2.0,90.1078947368421,89.22792564025006,91.1956434646002,-1.0877487277580968,-0.7434059415130541,0.7434059415130541,73.6842105263158,311.0,28.5,9.0,14.0,-5.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,36fa31f7-12df-4f79-8de7-63098bfb8a5b,da619921-fbb3-4efc-8926-5c847f4f3436
107d0289-0509-4052-94d9-8f21082d26e0,7.0,Finished,3.0,1:27.765,,,4.0,1:24.099,5.0,1:23.870,3.0,83.487,3.0,1:23.486,82.985,1.0,1:22.984,82.824,3.0,1:22.823,2.0,1.0,89.58112280701754,88.92328670360112,91.1956434646002,-1.6145206575826592,-1.1034205041234788,1.1034205041234788,89.47368421052632,318.0,30.0,6.0,9.0,-3.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,258793ad-e101-47d1-8409-93edc1c8bdd5,32af326f-ab0a-4a12-9764-43f308e87476
5cd18f6f-954b-44df-85ad-455ad006b757,14.0,Lapped,13.0,1:28.603,,,18.0,1:24.686,18.0,1:24.531,13.0,83.729,12.0,1:23.728,83.784,13.0,1:23.784,,,,14.0,-1.0,91.22214285714288,91.90914855072464,91.1956434646002,0.026499392542675,0.0181106218375576,-0.0181106218375576,31.57894736842105,313.0,37.0,8.0,6.0,2.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,bbe763bf-f205-4c4a-b485-51cc69248b5a,eb14f5b8-34b7-42db-ba17-1d847b0fc6ee
6afadb46-27a8-4c7d-9003-95390949ef7f,12.0,Lapped,11.0,1:29.200,,,10.0,1:24.496,11.0,1:24.343,11.0,83.735,14.0,1:23.734,83.419,11.0,1:23.418,,,,12.0,-1.0,91.17896428571429,90.72838793103448,91.1956434646002,-0.0166791788859086,-0.0113991405983065,0.0113991405983065,36.8421052631579,308.0,29.5,16.0,11.0,5.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,329fcd08-b140-4524-8bbd-d944b5c5dd1b,c9a9c6fa-3f8f-4291-96b9-be6320767395
262f85ac-5860-4daf-b7f8-134fe6b414de,2.0,Finished,5.0,1:27.765,,,17.0,1:24.597,4.0,1:23.843,5.0,83.516,4.0,1:23.516,82.998,2.0,1:22.998,82.945,5.0,1:22.944,6.0,-1.0,90.23908771929824,89.10491286549707,91.1956434646002,-0.9565557453019552,-0.6537440185396051,0.6537440185396051,68.42105263157895,309.0,27.0,14.0,17.0,-3.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,4e5380ac-3832-409c-a269-05f3091fe4e2,c4170884-4736-4883-a3a4-eb449318ace9
50aa127d-37cd-4878-a161-74630a408520,15.0,Lapped,17.0,1:27.981,16.0,1:25.921,15.0,1:24.557,19.0,1:24.668,17.0,83.88,17.0,1:23.879,,,,,,,13.0,4.0,91.24780357142856,91.4075875,91.1956434646002,0.0521601068283672,0.0356480613000424,-0.0356480613000424,26.315789473684216,310.0,39.333333333333336,11.0,5.0,6.0,,,,52ca328f-e6e1-47af-8bc3-300cea1b57db,b59a380d-034d-42f5-b7c2-0c866052304b,d8d93e26-d576-42e2-9a6b-e428bcb6bf68
b9536248-7998-4485-9c18-dcf2a68e3fdf,11.0,Lapped,12.0,1:21.617,12.0,1:19.442,,,13.0,1:17.759,12.0,77.13,7.0,1:17.129,77.167,12.0,1:17.167,,,,11.0,1.0,84.57321428571427,83.5441850140056,84.33939066056288,0.2338236251513876,0.312272366261168,-0.312272366261168,47.36842105263158,332.0,14.333333333333334,8.0,9.0,-1.0,11.0,11.0,11.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,00572d64-eb7e-4295-89f6-63bf98e32dd4,d7558695-fc23-4e4a-8247-3e810f9397f8
0ae531f2-ad85-46f1-a404-71dd83e4153e,8.0,Finished,10.0,1:20.492,18.0,1:19.715,5.0,1:17.912,6.0,1:16.996,10.0,76.991,5.0,1:16.990,76.71,6.0,1:16.709,77.552,10.0,1:17.552,8.0,2.0,84.44442105263158,84.18286315789474,84.33939066056288,0.1050303920686985,0.1402684995555765,-0.1402684995555765,57.89473684210527,331.0,19.0,12.0,5.0,7.0,9.0,9.0,9.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,5d03531f-db77-4857-b87a-f8bcff470727,eb14f5b8-34b7-42db-ba17-1d847b0fc6ee
eabe4b45-204c-470c-80e3-7b81943a97b1,14.0,Lapped,13.0,1:21.421,20.0,1:20.013,14.0,1:18.584,12.0,1:17.751,13.0,77.543,13.0,1:17.543,77.34,13.0,1:17.340,,,,14.0,-1.0,85.25725,84.68900923076922,84.33939066056288,0.9178593394371148,1.2258047390864322,-1.2258047390864322,5.263157894736848,327.0,7.0,16.0,15.0,1.0,18.0,18.0,18.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,b71aeceb-a2f8-4b55-b919-3faa52663eec,d8d93e26-d576-42e2-9a6b-e428bcb6bf68
dfb8af15-eee2-4e1c-b28a-12ca2592a779,13.0,Lapped,17.0,1:21.090,17.0,1:19.621,15.0,1:18.691,19.0,1:18.390,17.0,77.982,17.0,1:17.981,,,,,,,13.0,4.0,85.09807142857143,84.20875,84.33939066056288,0.7586807680085457,1.013221134132531,-1.013221134132531,15.789473684210533,337.0,9.666666666666666,3.0,13.0,-10.0,7.0,7.0,7.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,9218ccac-0d8c-4836-9f4b-082a2c542f68,71e83a22-c17b-480d-93f1-bcc6e31859e2
b8f36d2a-0323-4cc4-bad1-1f0d438008c0,18.0,Retired,11.0,1:22.444,9.0,1:18.771,18.0,1:18.834,4.0,1:16.805,11.0,77.499,12.0,1:17.498,76.96,11.0,1:16.959,,,,18.0,-7.0,84.62414285714286,88.164,84.33939066056288,0.2847521965799728,0.3802876726700415,-0.3802876726700415,42.10526315789473,331.0,39.5,12.0,2.0,10.0,4.0,4.0,4.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,d71626b8-a508-4371-a966-503f36ebb8d0,da619921-fbb3-4efc-8926-5c847f4f3436
e1305e18-7e18-4012-80a1-cd66d537542c,9.0,Finished,16.0,1:21.144,16.0,1:19.603,16.0,1:18.701,16.0,1:17.941,16.0,77.976,16.0,1:17.975,,,,,,,9.0,7.0,84.81536842105264,86.0775111111111,84.33939066056288,0.475977760489755,0.6356701614714709,-0.6356701614714709,21.052631578947366,336.0,3.6666666666666665,4.0,18.0,-14.0,8.0,8.0,8.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,d54daa60-c444-4ecb-a83e-c157cdf43e67,9ce8fc06-61f2-4c19-8be7-5c070425fd4c
3f3530be-762c-45c2-8221-ff9f667a1257,2.0,Finished,5.0,1:19.813,4.0,1:18.599,1.0,1:17.277,1.0,1:16.713,5.0,76.984,4.0,1:16.983,76.304,2.0,1:16.304,76.435,5.0,1:16.435,2.0,3.0,83.13489473684211,81.95229015084294,84.33939066056288,-1.2044959237207706,-1.6086090189077036,1.6086090189077036,89.47368421052632,332.0,18.333333333333332,8.0,6.0,2.0,3.0,3.0,3.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,a1402642-75cf-4196-9db4-b0d5b458a6ae,32af326f-ab0a-4a12-9764-43f308e87476
5abf8eb7-628e-43d3-85f3-a8aa4b2072de,10.0,Lapped,14.0,1:21.081,13.0,1:19.489,19.0,1:19.275,17.0,1:17.960,14.0,77.709,15.0,1:17.709,77.427,14.0,1:17.427,,,,10.0,4.0,84.56173214285714,88.14414909090908,84.33939066056288,0.2223414822942544,0.2969379195497875,-0.2969379195497875,52.63157894736843,338.0,14.666666666666666,2.0,8.0,-6.0,16.0,16.0,16.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,60b02cb4-9e82-4955-bed9-7b8d40b28266,9ce8fc06-61f2-4c19-8be7-5c070425fd4c
a14dc9f1-85b4-423b-b314-0beed62d6b9a,3.0,Finished,4.0,1:19.915,1.0,1:18.563,9.0,1:18.155,10.0,1:17.489,4.0,77.43,11.0,1:17.430,76.75,7.0,1:16.750,76.315,4.0,1:16.314,3.0,1.0,83.20987719298245,84.54466213450293,84.33939066056288,-1.1295134675804377,-1.5084696553517063,1.5084696553517063,84.21052631578947,324.0,13.666666666666666,18.0,12.0,6.0,1.0,1.0,1.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,b34c803f-2e33-48a4-bffb-499598604cf9,d3cdf2e4-9756-4de7-8fee-cb87fb530b7f
1bea6c1b-661e-473a-924d-806db199d9a4,16.0,Lapped,15.0,1:21.353,15.0,1:19.561,17.0,1:18.704,15.0,1:17.920,15.0,77.617,14.0,1:17.617,77.697,15.0,1:17.697,,,,16.0,-1.0,85.43819642857143,95.73630408163268,84.33939066056288,1.098805768008546,1.4674594024247698,-1.4674594024247698,0.0,335.0,2.75,5.0,19.0,-14.0,,,,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,93895c43-2842-47df-b7de-f86110fd54b7,71e83a22-c17b-480d-93f1-bcc6e31859e2
a9f4af38-2b2d-4aca-bd06-5f43ac676f38,5.0,Finished,3.0,1:20.388,6.0,1:18.641,8.0,1:18.090,7.0,1:17.013,3.0,76.805,2.0,1:16.805,76.631,5.0,1:16.631,76.274,3.0,1:16.274,5.0,-2.0,84.04778947368422,83.57551578947368,84.33939066056288,-0.2916011868786654,-0.3894345260116907,0.3894345260116907,63.1578947368421,339.0,7.0,1.0,15.0,-14.0,20.0,20.0,20.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,d162e0ad-1954-4454-a548-630421348097,c4170884-4736-4883-a3a4-eb449318ace9
593338ab-4689-4185-bc6b-0bbb6e3f908f,4.0,Finished,6.0,1:20.198,10.0,1:18.918,7.0,1:18.076,8.0,1:17.087,6.0,77.369,9.0,1:17.368,76.601,4.0,1:16.600,76.572,6.0,1:16.572,4.0,2.0,83.71187719298246,85.87551620648259,84.33939066056288,-0.6275134675804281,-0.8380466911982102,0.8380466911982102,68.42105263157895,330.0,14.333333333333334,15.0,9.0,6.0,10.0,10.0,10.0,dd011b06-ed79-4b82-a88a-ecd9e1e939bf,d31df4d0-71a1-40fc-bf79-61af13e1acd7,d3cdf2e4-9756-4de7-8fee-cb87fb530b7f
