season,race_name,round,circuit_type,team,avg_race_pace,clean_air_avg_race_pace,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2024,Sakhir,1,Permanent,Alpine,98.7223090909091,100.8595112770563,326.0,16.428571428571427,9.0,8.0,1.0,15.714285714285714,3,0,4,-0.0878031357531373,,-0.360144365663575,-5.149999999999996,,-21.08075,65.27041086556974,195.86234175592458,0.5,4.019115220744167,2.137202186147192
2024,Sakhir,1,Permanent,Aston Martin,97.90798214285715,97.4661038508615,332.0,18.166666666666668,2.0,5.0,-3.0,18.666666666666668,2,0,4,0.24649340659340865,,-0.23832115193171768,3.6030000000000015,,-19.146500000000003,62.548875231872316,197.230053982714,0.45535714285714285,6.88737816951567,-0.4418782919956499
2024,Sakhir,1,Permanent,Ferrari,97.1015357142857,96.95445220588235,332.0,18.166666666666668,2.0,5.0,-3.0,18.666666666666668,2,0,4,0.17768702963703664,,-0.198014398644834,3.695999999999998,,-18.98575,67.5945221416104,199.36212861026124,0.6785714285714286,3.206849843152017,-0.14708350840335527
2024,Sakhir,1,Permanent,Haas,98.34116363636363,98.55131646428572,335.0,9.333333333333334,1.0,9.0,-8.0,18.333333333333332,2,0,4,-0.15931807359307093,,-0.2528184289775806,-9.164500000000004,,-21.85775,64.02587522241858,196.82002682730962,0.46363636363636357,6.495400539391959,0.21015282792208723
2024,Sakhir,1,Permanent,McLaren,97.40475892857141,98.0417354078265,326.0,18.5,9.0,4.0,5.0,18.666666666666668,2,0,4,0.12721398601398748,,-0.20479007934856994,2.4909999999999997,,-20.430249999999997,62.95450224336751,198.30822898275872,0.5267857142857143,2.9267474143610013,0.6369764792550825
2024,Sakhir,1,Permanent,Mercedes,97.35933928571428,96.60650991599161,330.0,20.166666666666668,6.0,1.0,5.0,18.666666666666668,2,0,4,0.19116060606060942,,-0.2077100290683116,3.2479999999999976,,-19.416749999999997,64.1754847656435,198.55050158600974,0.36607142857142855,4.11544471916972,-0.7528293697226758
2024,Sakhir,1,Permanent,RB,98.35246363636364,102.55752448453609,330.0,19.666666666666668,6.0,2.0,4.0,18.333333333333332,3,0,3,0.02657542457542601,,-0.21581495438200252,-4.739999999999995,,-19.17,62.56613515244742,196.06355442421528,0.8272727272727273,2.131418634143634,4.205060848172451
2024,Sakhir,1,Permanent,Red Bull,96.73753571428573,97.00218993506495,331.0,19.5,4.0,3.0,1.0,18.666666666666668,4,0,2,-0.056366993938721896,,-0.19485404870872755,-8.562000000000001,,-18.439500000000002,64.98165916381184,199.5178026101716,0.6071428571428571,5.632588113275614,0.26465422077922085
2024,Sakhir,1,Permanent,Sauber,98.96487272727273,98.66480065359477,331.0,18.0,4.0,7.0,-3.0,18.333333333333332,2,0,4,0.28801406926406653,,-0.3128304134543174,3.907499999999999,,-32.63375,64.17205408336027,195.3159231305107,0.41818181818181815,9.900779548229549,-0.30007207367796696
2024,Sakhir,1,Permanent,Williams,99.3794128440367,103.96867994757535,330.0,8.285714285714286,6.0,10.0,-4.0,15.571428571428571,3,0,4,1.3134594017094023,,-0.48326070998145165,13.883666666666679,,-23.34625,61.26092298567842,194.17517197725428,0.3944954128440367,22.52118888888889,4.58926710353866
